company,source,title,desc,date,link,detailed_content,final_content,investing_in_solarparks
Enviria,EU-Startups,Frankfurt-based ENVIRIA secures €185 million to offer decentralized energy via rooftop solar at scale,"ENVIRIA, Germany's leading commercial and industrial (C&I) decentralized energy solutions provider, announced it has entered into a...",29 Feb 2024,https://www.eu-startups.com/2024/02/frankfurt-based-enviria-secures-e185-million-to-offer-decentralized-energy-via-rooftop-solar-at-scale/,"ENVIRIA, Germany’s leading commercial and industrial (C&I) decentralized energy solutions provider, announced it has entered into a definitive agreement on an equity investment of over €185 million from BlackRock, through its Global Renewable Power IV (GRP IV) fund. The additional capital will support the expansion of the already existing 500 C&I solar projects across Germany as part of the company’s growth plan.

With this investment, ENVIRIA and BlackRock are leveraging one of the greatest growth areas in the energy transition: offering decentralized energy via rooftop solar and adjacent services at scale. It is estimated that German companies consume around 70 percent of the total national electricity usage,1 while only around 10 percent of suitable company roofs are equipped with a solar system.2 This leaves a potential of several hundred GW of renewable energy capacity untapped. With rooftop sizes across the C&I sector being on average significantly larger than residential buildings, renewable energy capacities can be rapidly deployed.

Melchior Schulze Brock, Founder and CEO of ENVIRIA, said: “We are delighted to have found such a strong partner in BlackRock, who so enthusiastically supports our vision of empowering companies to harness the potential of solar. BlackRock brings exactly the resources we need to continue our growth both financially and in terms of knowledge. Understanding the complex, capital intense nature of our business, BlackRock is able to support us in realizing the full potential of the C&I sector across Germany. BlackRock’s experience in working with companies in our sector globally, especially in Asia and America, has impressively shown what a successful collaboration can look like.”

ENVIRIA is challenging traditional ‘grey’ power plants and gradually reduces dependence on fossil fuels by feeding electricity directly into the grid from its powerful solar systems. Supported by its Series A investors Galileo Green Energy, Redalpine, Alter Equity and BNP Paribas Développement, the company has built a portfolio of 500 C&I solar projects across Germany. Its development pipeline includes approx. 2,000 C&I projects totalling more than 2.3GW, with a plan to realize 1.7GW by 2029, thus enabling a successful energy transition.

Founded in 2017, ENVIRIA’s strong track record in C&I solar development demonstrates the efficacy of its pioneering end-to-end business approach. By covering the entire solar value chain – from installation and maintenance to asset management – the company offers customized solutions to reliably overcome some of the biggest challenges in the industry. Thereby, ENVIRIA showcases the potential for growth for attractive infrastructure solutions in an economic environment that will continue to create demand for renewable energy.

BlackRock’s Climate Infrastructure team were first movers in the space and have been investing in renewable power since the late 90s, with investments in over 15 companies and the first investment in solar PV in 2013. Today, they manage US$11 billion in client assets. GRP IV is the fourth vintage of the flagship climate infrastructure franchise and the fund’s LPs include significant capital from German asset owners. This investment is GRP IV’s second, following the fund’s investment in Recurrent Energy in January.

Keith Mangan, Head of EMEA for Climate Infrastructure at BlackRock, commented: “Our investment in ENVIRIA adds to our strong track record of staying ahead of the curve in investing into infrastructure assets that are aligned with the energy transition, an investment theme that continues to show its growth and scalability. ENVIRIA’s unique value proposition as a full-chain PV provider is a stellar example of the deployment of scalable innovation in this sector, making this an attractive exposure for our clients.”

Dirk Schmitz, Country Head of BlackRock in Germany, Austria, and Eastern Europe, added: “Germany’s shift to a low-carbon economy requires significant investment in renewable power infrastructure. We are pleased to provide our clients access to this investment in a promising macro-economic environment for climate infrastructure in Germany. With a strong German investor presence on our Climate infrastructure platform, I am excited that we will be put our clients’ money to work through ENVIRIA locally.”","enviria, germany’s leading commercial and industrial (c&i) decentralized energy solutions provider, announced it has entered into a definitive agreement on an equity investment of over €185 million from blackrock, through its global renewable power iv (grp iv) fund. the additional capital will support the expansion of the already existing 500 c&i solar projects across germany as part of the company’s growth plan.

with this investment, enviria and blackrock are leveraging one of the greatest growth areas in the energy transition: offering decentralized energy via rooftop solar and adjacent services at scale. it is estimated that german companies consume around 70 percent of the total national electricity usage,1 while only around 10 percent of suitable company roofs are equipped with a solar system.2 this leaves a potential of several hundred gw of renewable energy capacity untapped. with rooftop sizes across the c&i sector being on average significantly larger than residential buildings, renewable energy capacities can be rapidly deployed.

melchior schulze brock, founder and ceo of enviria, said: “we are delighted to have found such a strong partner in blackrock, who so enthusiastically supports our vision of empowering companies to harness the potential of solar. blackrock brings exactly the resources we need to continue our growth both financially and in terms of knowledge. understanding the complex, capital intense nature of our business, blackrock is able to support us in realizing the full potential of the c&i sector across germany. blackrock’s experience in working with companies in our sector globally, especially in asia and america, has impressively shown what a successful collaboration can look like.”

enviria is challenging traditional ‘grey’ power plants and gradually reduces dependence on fossil fuels by feeding electricity directly into the grid from its powerful solar systems. supported by its series a investors galileo green energy, redalpine, alter equity and bnp paribas développement, the company has built a portfolio of 500 c&i solar projects across germany. its development pipeline includes approx. 2,000 c&i projects totalling more than 2.3gw, with a plan to realize 1.7gw by 2029, thus enabling a successful energy transition.

founded in 2017, enviria’s strong track record in c&i solar development demonstrates the efficacy of its pioneering end-to-end business approach. by covering the entire solar value chain – from installation and maintenance to asset management – the company offers customized solutions to reliably overcome some of the biggest challenges in the industry. thereby, enviria showcases the potential for growth for attractive infrastructure solutions in an economic environment that will continue to create demand for renewable energy.

blackrock’s climate infrastructure team were first movers in the space and have been investing in renewable power since the late 90s, with investments in over 15 companies and the first investment in solar pv in 2013. today, they manage us$11 billion in client assets. grp iv is the fourth vintage of the flagship climate infrastructure franchise and the fund’s lps include significant capital from german asset owners. this investment is grp iv’s second, following the fund’s investment in recurrent energy in january.

keith mangan, head of emea for climate infrastructure at blackrock, commented: “our investment in enviria adds to our strong track record of staying ahead of the curve in investing into infrastructure assets that are aligned with the energy transition, an investment theme that continues to show its growth and scalability. enviria’s unique value proposition as a full-chain pv provider is a stellar example of the deployment of scalable innovation in this sector, making this an attractive exposure for our clients.”

dirk schmitz, country head of blackrock in germany, austria, and eastern europe, added: “germany’s shift to a low-carbon economy requires significant investment in renewable power infrastructure. we are pleased to provide our clients access to this investment in a promising macro-economic environment for climate infrastructure in germany. with a strong german investor presence on our climate infrastructure platform, i am excited that we will be put our clients’ money to work through enviria locally.”",True
Enviria,Sifted,Solar panel startup Enviria secures $200m from BlackRock,"Frankfurt-based Enviria has secured $200m in equity from BlackRock, cementing Germany's place as a solar tech hub.",29 Feb 2024,https://sifted.eu/articles/enviria-blackrock-climate-solar-panel-news,Article `download()` failed with 403 Client Error: Forbidden for url: https://sifted.eu/articles/enviria-blackrock-climate-solar-panel-news on URL https://sifted.eu/articles/enviria-blackrock-climate-solar-panel-news,"frankfurt-based enviria has secured $200m in equity from blackrock, cementing germany's place as a solar tech hub.",True
Enviria,Tech.eu,Germany's Enviria targets commercial solar energy market with $200M BlackRock funding,German solar startup Enviria raises over $200M from BlackRock for expansion of its commercial and industrial solar projects.,29 Feb 2024,https://tech.eu/2024/02/29/germanys-enviria-targets-commercial-solar-energy-market-with-200m-blackrock-funding/,"Frankfurt-based Enviria has secured over $200 million in a Series B funding round provided by the world's largest asset manager, BlackRock. The investment will provide Enviria with further support as it expands upon its existing 500 commercial and industrial solar projects across Germany.

While the vast majority of solar energy-related projects hailing from Germany focus on residential installations and rental and maintenance services, Enviria is taking a different route, focusing instead on photovoltaic energy solutions including energy-as-a-service products customised for the distinct needs of businesses.

Not unlike their residential-focused counterparts, Enviria’s business model centres around navigating and mitigating the headaches involved when going solar: ensuring compliance with relevant regulations, sourcing solar systems appropriate to project requirements and goals, coordinating suppliers and contractors, managing the inevitable energy surplus, and last but certainly not least, sourcing the capital to finance the project.

In Germany alone, estimates place commercial and industrial entities as consumers of around 70 per cent of the country’s total electricity usage, while only 10 per cent of suitable company roofs are leveraging the power of photovoltaic systems.

In opposition to its residential cousin, rooftop sizes across the commercial and industrial sectors are significantly larger, providing ample space for renewable energy capacities to be rapidly deployed.

And Enviria wants to be the provider to do so.

According to the company, its development pipeline includes approx. 2,000 commercial and industrial projects totalling more than 2.3GW. Enviria is aiming to realise at least 1.7GW of this pipeline by 2029.

On the deal, Enviria founded and CEO Melchior Schulze Brock shared:",german solar startup enviria raises over $200m from blackrock for expansion of its commercial and industrial solar projects.,True
Enviria,Renewables Now,Galileo sheds interest in Enviria to BlackRock and progresses ground-mount solar JV,"Pan-European renewables developer Galileo Green Energy on Tuesday said it has agreed to sell its interest in Enviria, a German provider of...",5 Mar 2024,https://renewablesnow.com/news/galileo-sheds-interest-in-enviria-to-blackrock-and-progresses-ground-mount-solar-jv-850572/,Article `download()` failed with 403 Client Error: Forbidden for url: https://renewablesnow.com/news/galileo-sheds-interest-in-enviria-to-blackrock-and-progresses-ground-mount-solar-jv-850572/ on URL https://renewablesnow.com/news/galileo-sheds-interest-in-enviria-to-blackrock-and-progresses-ground-mount-solar-jv-850572/,"pan-european renewables developer galileo green energy on tuesday said it has agreed to sell its interest in enviria, a german provider of...",False
Enviria,pv magazine International,BlackRock invests $200 million in Enviria,"BlackRock has invested €183 million ($200.2 million) in Enviria, a Germany-based company that specializes in deploying C&I PV systems,...",11 Mar 2024,https://www.pv-magazine.com/2024/03/11/blackrock-invests-200-million-in-enviria/,"BlackRock has agreed to invest €183 million in German PV installer Enviria.

Envira supplies decentralized PV solutions for businesses. It has developed nearly 500 C&I projects in Germany and has around 2,000 C&I projects in its portfolio, with a combined capacity of nearly 2.3 GW.

BlackRock acquired a 14.7% stake in Enviria from Switzerland-based Galileo.

However, Galileo and Enviria remain partners because they jointly run a venture specializing in the development of large-scale solar and storage plants in Germany. Galileo said the entity has a portfolio of projects of 1.4 GW at various stages of development, and plans to add around 1 GW of projects per year.

“Together with the other series A investors, we firmly believed in Enviria’s potential, now confirmed by this significant investment from BlackRock,” said Galileo CEO Ingmar Wilhelm.","blackrock has invested €183 million ($200.2 million) in enviria, a germany-based company that specializes in deploying c&i pv systems,...",False
Enviria,SolarQuarter,"ENVIRIA Secures Over $200 Million Capital Commitment from BlackRock, Germany's Top Commercial and Industrial Solar Company","ENVIRIA, the leading provider of commercial and industrial (C&I) decentralized energy solutions in Germany, has finalized an agreement for...",1 Mar 2024,https://solarquarter.com/2024/03/01/enviria-secures-over-200-million-capital-commitment-from-blackrock-germanys-top-commercial-and-industrial-solar-company/,"ENVIRIA, the leading provider of commercial and industrial (C&I) decentralized energy solutions in Germany, has finalized an agreement for an equity investment exceeding USD 200 million from BlackRock, facilitated through its Global Renewable Power IV (GRP IV) fund. This substantial injection of capital will bolster ENVIRIA’s expansion plans for its existing portfolio of 500 C&I solar projects across Germany.

The partnership between ENVIRIA and BlackRock underscores their strategic focus on capitalizing on the burgeoning market for decentralized energy solutions, particularly rooftop solar installations and associated services. Currently, German businesses consume approximately 70 percent of the nation’s total electricity, yet only about 10 percent of suitable commercial roofs are equipped with solar systems, leaving immense untapped potential estimated at several hundred gigawatts of renewable energy capacity. Leveraging the larger rooftop sizes characteristic of the C&I sector, ENVIRIA aims to swiftly deploy renewable energy capacity to meet this demand.

ENVIRIA is revolutionizing the energy landscape by challenging traditional power generation methods and reducing reliance on fossil fuels through the direct contribution of electricity generated by its robust solar systems to the grid. With support from Series A investors Galileo Green Energy, Redalpine, Alter Equity, and BNP Paribas Développement, the company has already established a portfolio of 500 C&I solar projects in Germany. ENVIRIA’s ambitious development pipeline includes approximately 2,000 C&I projects, totaling over 2.3 gigawatts, with plans to realize 1.7 gigawatts by 2029, thus facilitating a seamless transition towards sustainable energy.

ENVIRIA’s success lies in its comprehensive approach to the solar value chain, encompassing installation, maintenance, and asset management, thereby offering tailored solutions to overcome industry challenges effectively. This holistic strategy exemplifies the potential for growth in infrastructure solutions within an economic landscape characterized by increasing demand for renewable energy.

Melchior Schulze Brock, ENVIRIA’s Founder and CEO, expressed enthusiasm about the partnership with BlackRock, highlighting their shared vision of empowering businesses to embrace solar energy. With BlackRock’s substantial resources and expertise, ENVIRIA is well-positioned to maximize the potential of the C&I sector in Germany. BlackRock’s Climate Infrastructure team, pioneers in renewable energy investment since the late 1990s, manages USD 11 billion in client assets and has a proven track record of successful collaborations with companies globally.

Keith Mangan, Head of EMEA for Climate Infrastructure at BlackRock, emphasized ENVIRIA’s unique value proposition and its alignment with the energy transition, making it an attractive investment for their clients. Dirk Schmitz, Country Head of BlackRock in Germany, Austria, and Eastern Europe, underscored the significance of investing in renewable power infrastructure to facilitate Germany’s transition to a low-carbon economy.

J.P. Morgan SE served as the Exclusive Placement Agent to ENVIRIA for this transaction, with legal advisory provided by White & Case. The completion of the transaction is contingent upon regulatory approvals and compliance with stipulated terms and conditions.

Like this: Like Loading...","enviria, the leading provider of commercial and industrial (c&i) decentralized energy solutions in germany, has finalized an agreement for an equity investment exceeding usd 200 million from blackrock, facilitated through its global renewable power iv (grp iv) fund. this substantial injection of capital will bolster enviria’s expansion plans for its existing portfolio of 500 c&i solar projects across germany.

the partnership between enviria and blackrock underscores their strategic focus on capitalizing on the burgeoning market for decentralized energy solutions, particularly rooftop solar installations and associated services. currently, german businesses consume approximately 70 percent of the nation’s total electricity, yet only about 10 percent of suitable commercial roofs are equipped with solar systems, leaving immense untapped potential estimated at several hundred gigawatts of renewable energy capacity. leveraging the larger rooftop sizes characteristic of the c&i sector, enviria aims to swiftly deploy renewable energy capacity to meet this demand.

enviria is revolutionizing the energy landscape by challenging traditional power generation methods and reducing reliance on fossil fuels through the direct contribution of electricity generated by its robust solar systems to the grid. with support from series a investors galileo green energy, redalpine, alter equity, and bnp paribas développement, the company has already established a portfolio of 500 c&i solar projects in germany. enviria’s ambitious development pipeline includes approximately 2,000 c&i projects, totaling over 2.3 gigawatts, with plans to realize 1.7 gigawatts by 2029, thus facilitating a seamless transition towards sustainable energy.

enviria’s success lies in its comprehensive approach to the solar value chain, encompassing installation, maintenance, and asset management, thereby offering tailored solutions to overcome industry challenges effectively. this holistic strategy exemplifies the potential for growth in infrastructure solutions within an economic landscape characterized by increasing demand for renewable energy.

melchior schulze brock, enviria’s founder and ceo, expressed enthusiasm about the partnership with blackrock, highlighting their shared vision of empowering businesses to embrace solar energy. with blackrock’s substantial resources and expertise, enviria is well-positioned to maximize the potential of the c&i sector in germany. blackrock’s climate infrastructure team, pioneers in renewable energy investment since the late 1990s, manages usd 11 billion in client assets and has a proven track record of successful collaborations with companies globally.

keith mangan, head of emea for climate infrastructure at blackrock, emphasized enviria’s unique value proposition and its alignment with the energy transition, making it an attractive investment for their clients. dirk schmitz, country head of blackrock in germany, austria, and eastern europe, underscored the significance of investing in renewable power infrastructure to facilitate germany’s transition to a low-carbon economy.

j.p. morgan se served as the exclusive placement agent to enviria for this transaction, with legal advisory provided by white & case. the completion of the transaction is contingent upon regulatory approvals and compliance with stipulated terms and conditions.

like this: like loading...",True
Enviria,Silicon Canals,German company ENVIRIA secures over €185M from BlackRock to help companies access renewable energy ecosystem,"Frankfurt-based ENVIRIA, a commercial and industrial (C&I) decentralised energy solutions provider has secured a $200M (approximately €185M)...",29 Feb 2024,https://siliconcanals.com/enviria-secures-over-185m/,"Frankfurt-based ENVIRIA, a commercial and industrial (C&I) decentralised energy solutions provider, announced on Thursday that it has secured over $200M (approximately €185M) equity investment.

The capital comes from BlackRock through its Global Renewable Power IV (GRP IV) fund.

The latest financial injection will support the expansion of the already existing 500 C&I solar projects across Germany as part of the company’s growth plan.

ENVIRIA: Making solar radically easy

Founded in 2017 by Melchior Schulze Brock, ENVIRIA offers companies easy access to scalable energy-as-a-service solutions and the renewable energy ecosystem.

The startup takes on the financing, planning, installation, and operation of solar systems, as well as the integration of charging stations and energy storage.

ENVIRIA also leases company rooftop areas, operates solar systems on them, and markets green electricity.

- A message from our partner -



The German company’s customised solutions challenge traditional ‘gray’ power plants and aim to gradually reduce dependence on fossil fuels.

It is estimated that German companies consume around 70 per cent of the total national electricity usage, while only around 10 per cent of suitable company roofs are equipped with a solar system.

This leaves a potential of several hundred GW of renewable energy capacity untapped, claims the company.

To date, the company has built a portfolio of 500 C&I solar projects across Germany.

ENVIRIA says it has 2,000 C&I projects in the pipeline, totalling more than 2.3GW, with a plan to realize 1.7GW by 2029, thus enabling a successful energy transition.

Melchior Schulze Brock, Founder and Chief Executive Officer of ENVIRIA says, “BlackRock brings exactly the resources we need to continue our growth – both financially and in terms of knowledge. Understanding the complex, capital-intensive nature of our business, BlackRock can support us in realizing the full potential of the C&I sector across Germany. BlackRock’s experience in working with companies in our sector globally, especially in Asia and America, has impressively shown what a successful collaboration can look like.”

The investor

BlackRock’s private markets platform focuses on investors seeking performance in infrastructure, private debt, private equity, real estate, and multi-alternatives solutions.

As of December 31, 2023, BlackRock manages $327B in liquid and illiquid alternative investments and commitments on behalf of clients worldwide.

Keith Mangan, Head of EMEA for Climate Infrastructure at BlackRock says, “Our investment in ENVIRIA adds to our strong track record of staying ahead of the curve in investing into infrastructure assets that are aligned with the energy transition, an investment theme that continues to show its growth and scalability. ENVIRIA’s unique value proposition as a full-chain PV provider is a stellar example of the deployment of scalable innovation in this sector, making this an attractive exposure for our clients.”

Dirk Schmitz, Country Head of BlackRock in Germany, Austria, and Eastern Europe says “Germany’s shift to a low-carbon economy requires significant investment in renewable power infrastructure. We are pleased to provide our clients access to this investment in a promising macroeconomic environment for climate infrastructure in Germany. With a strong German investor presence on our Climate infrastructure platform, I am excited that we will be putting our clients’ money to work through ENVIRIA locally.”","frankfurt-based enviria, a commercial and industrial (c&i) decentralised energy solutions provider, announced on thursday that it has secured over $200m (approximately €185m) equity investment.

the capital comes from blackrock through its global renewable power iv (grp iv) fund.

the latest financial injection will support the expansion of the already existing 500 c&i solar projects across germany as part of the company’s growth plan.

enviria: making solar radically easy

founded in 2017 by melchior schulze brock, enviria offers companies easy access to scalable energy-as-a-service solutions and the renewable energy ecosystem.

the startup takes on the financing, planning, installation, and operation of solar systems, as well as the integration of charging stations and energy storage.

enviria also leases company rooftop areas, operates solar systems on them, and markets green electricity.

- a message from our partner -



the german company’s customised solutions challenge traditional ‘gray’ power plants and aim to gradually reduce dependence on fossil fuels.

it is estimated that german companies consume around 70 per cent of the total national electricity usage, while only around 10 per cent of suitable company roofs are equipped with a solar system.

this leaves a potential of several hundred gw of renewable energy capacity untapped, claims the company.

to date, the company has built a portfolio of 500 c&i solar projects across germany.

enviria says it has 2,000 c&i projects in the pipeline, totalling more than 2.3gw, with a plan to realize 1.7gw by 2029, thus enabling a successful energy transition.

melchior schulze brock, founder and chief executive officer of enviria says, “blackrock brings exactly the resources we need to continue our growth – both financially and in terms of knowledge. understanding the complex, capital-intensive nature of our business, blackrock can support us in realizing the full potential of the c&i sector across germany. blackrock’s experience in working with companies in our sector globally, especially in asia and america, has impressively shown what a successful collaboration can look like.”

the investor

blackrock’s private markets platform focuses on investors seeking performance in infrastructure, private debt, private equity, real estate, and multi-alternatives solutions.

as of december 31, 2023, blackrock manages $327b in liquid and illiquid alternative investments and commitments on behalf of clients worldwide.

keith mangan, head of emea for climate infrastructure at blackrock says, “our investment in enviria adds to our strong track record of staying ahead of the curve in investing into infrastructure assets that are aligned with the energy transition, an investment theme that continues to show its growth and scalability. enviria’s unique value proposition as a full-chain pv provider is a stellar example of the deployment of scalable innovation in this sector, making this an attractive exposure for our clients.”

dirk schmitz, country head of blackrock in germany, austria, and eastern europe says “germany’s shift to a low-carbon economy requires significant investment in renewable power infrastructure. we are pleased to provide our clients access to this investment in a promising macroeconomic environment for climate infrastructure in germany. with a strong german investor presence on our climate infrastructure platform, i am excited that we will be putting our clients’ money to work through enviria locally.”",True
Enviria,IPE Real Assets,BlackRock injects $200m into German solar firm Enviria,Global Renewable Power IV provides capital to support expansion of Enviria's 500 C&I solar projects.,29 Feb 2024,https://realassets.ipe.com/news/blackrock-injects-200m-into-german-solar-firm-enviria/10071918.article,"German commercial and industrial (C&I) solar company Enviria has secured a $200m (€184.6m) investment from a fund managed by BlackRock’s climate infrastructure business to help it expand across its home country.

BlackRock, through its Global Renewable Power IV (GRP IV) fund, is providing the additional capital to support the expansion of Enviria’s existing 500 C&I solar projects.

Enviria’s development pipeline includes around 2,000 C&I projects totalling more than 2.3GW, with a plan to realise 1.7GW by 2029.

GRP IV’s investment adds to previous investments Enviria received at its initial funding round from backers including Galileo Green Energy, Redalpine, Alter Equity, and BNP Paribas Développement. The investment is GRP IV’s second, following the fund’s $500m investment in Recurrent Energy in January.

Keith Mangan, the head of EMEA for climate infrastructure at BlackRock, said: “Our investment in Enviria adds to our strong track record of staying ahead of the curve in investing into infrastructure assets that are aligned with the energy transition, an investment theme that continues to show its growth and scalability.

“Enviria’s unique value proposition as a full-chain PV provider is a stellar example of the deployment of scalable innovation in this sector, making this an attractive exposure for our clients.”

Dirk Schmitz, country head of BlackRock in Germany, Austria, and Eastern Europe, said: “Germany’s shift to a low-carbon economy requires significant investment in renewable power infrastructure. We are pleased to provide our clients access to this investment in a promising macro-economic environment for climate infrastructure in Germany.

“With a strong German investor presence on our climate infrastructure platform, I am excited that we will be able to put our clients’ money to work through Enviria locally.”

Melchior Schulze Brock, founder and CEO of Enviria, said: “BlackRock brings exactly the resources we need to continue our growth – both financially and in terms of knowledge.

”Understanding the complex, capital intense nature of our business, BlackRock is able to support us in realising the full potential of the C&I sector across Germany. BlackRock’s experience in working with companies in our sector globally, especially in Asia and America, has impressively shown what a successful collaboration can look like.”

To read the latest IPE Real Assets magazine click here.","german commercial and industrial (c&i) solar company enviria has secured a $200m (€184.6m) investment from a fund managed by blackrock’s climate infrastructure business to help it expand across its home country.

blackrock, through its global renewable power iv (grp iv) fund, is providing the additional capital to support the expansion of enviria’s existing 500 c&i solar projects.

enviria’s development pipeline includes around 2,000 c&i projects totalling more than 2.3gw, with a plan to realise 1.7gw by 2029.

grp iv’s investment adds to previous investments enviria received at its initial funding round from backers including galileo green energy, redalpine, alter equity, and bnp paribas développement. the investment is grp iv’s second, following the fund’s $500m investment in recurrent energy in january.

keith mangan, the head of emea for climate infrastructure at blackrock, said: “our investment in enviria adds to our strong track record of staying ahead of the curve in investing into infrastructure assets that are aligned with the energy transition, an investment theme that continues to show its growth and scalability.

“enviria’s unique value proposition as a full-chain pv provider is a stellar example of the deployment of scalable innovation in this sector, making this an attractive exposure for our clients.”

dirk schmitz, country head of blackrock in germany, austria, and eastern europe, said: “germany’s shift to a low-carbon economy requires significant investment in renewable power infrastructure. we are pleased to provide our clients access to this investment in a promising macro-economic environment for climate infrastructure in germany.

“with a strong german investor presence on our climate infrastructure platform, i am excited that we will be able to put our clients’ money to work through enviria locally.”

melchior schulze brock, founder and ceo of enviria, said: “blackrock brings exactly the resources we need to continue our growth – both financially and in terms of knowledge.

”understanding the complex, capital intense nature of our business, blackrock is able to support us in realising the full potential of the c&i sector across germany. blackrock’s experience in working with companies in our sector globally, especially in asia and america, has impressively shown what a successful collaboration can look like.”

to read the latest ipe real assets magazine click here.",True
Enviria,Renewables Now,Solar start-up Enviria attracts USD-200m investment from Blackrock,Enviria Solar GmbH has secured an equity investment of over USD 200 million (EUR 185.1m) from US asset manager Blackrock (NYSE:BLK) in a...,29 Feb 2024,https://renewablesnow.com/news/solar-start-up-enviria-attracts-usd-200m-investment-from-blackrock-850084/,Article `download()` failed with 403 Client Error: Forbidden for url: https://renewablesnow.com/news/solar-start-up-enviria-attracts-usd-200m-investment-from-blackrock-850084/ on URL https://renewablesnow.com/news/solar-start-up-enviria-attracts-usd-200m-investment-from-blackrock-850084/,enviria solar gmbh has secured an equity investment of over usd 200 million (eur 185.1m) from us asset manager blackrock (nyse:blk) in a...,True
Enviria,Axios,German C&I solar company Enviria closed over $200M from BlackRock,German solar roof company Enviria said it's raised over $200 million from BlackRock to deploy more solar panels on buildings across Germany.,29 Feb 2024,https://www.axios.com/pro/climate-deals/2024/02/29/blackrock-backs-solar-enviria,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.axios.com/pro/climate-deals/2024/02/29/blackrock-backs-solar-enviria on URL https://www.axios.com/pro/climate-deals/2024/02/29/blackrock-backs-solar-enviria,german solar roof company enviria said it's raised over $200 million from blackrock to deploy more solar panels on buildings across germany.,True
