company,source,title,desc,date,link,investing_in_solarparks
Enviria,EU-Startups,Frankfurt-based ENVIRIA secures €185 million to offer decentralized energy via rooftop solar at scale,"ENVIRIA, Germany's leading commercial and industrial (C&I) decentralized energy solutions provider, announced it has entered into a...",29 Feb 2024,https://www.eu-startups.com/2024/02/frankfurt-based-enviria-secures-e185-million-to-offer-decentralized-energy-via-rooftop-solar-at-scale/,False
Enviria,Sifted,Solar panel startup Enviria secures $200m from BlackRock,"Frankfurt-based Enviria has secured $200m in equity from BlackRock, cementing Germany's place as a solar tech hub.",29 Feb 2024,https://sifted.eu/articles/enviria-blackrock-climate-solar-panel-news,False
Enviria,Tech.eu,Germany's Enviria targets commercial solar energy market with $200M BlackRock funding,German solar startup Enviria raises over $200M from BlackRock for expansion of its commercial and industrial solar projects.,29 Feb 2024,https://tech.eu/2024/02/29/germanys-enviria-targets-commercial-solar-energy-market-with-200m-blackrock-funding/,True
Enviria,Renewables Now,Galileo sheds interest in Enviria to BlackRock and progresses ground-mount solar JV,"Pan-European renewables developer Galileo Green Energy on Tuesday said it has agreed to sell its interest in Enviria, a German provider of...",5 Mar 2024,https://renewablesnow.com/news/galileo-sheds-interest-in-enviria-to-blackrock-and-progresses-ground-mount-solar-jv-850572/,False
Enviria,pv magazine International,BlackRock invests $200 million in Enviria,"BlackRock has invested €183 million ($200.2 million) in Enviria, a Germany-based company that specializes in deploying C&I PV systems,...",11 Mar 2024,https://www.pv-magazine.com/2024/03/11/blackrock-invests-200-million-in-enviria/,False
Enviria,SolarQuarter,"ENVIRIA Secures Over $200 Million Capital Commitment from BlackRock, Germany's Top Commercial and Industrial Solar Company","ENVIRIA, the leading provider of commercial and industrial (C&I) decentralized energy solutions in Germany, has finalized an agreement for...",1 Mar 2024,https://solarquarter.com/2024/03/01/enviria-secures-over-200-million-capital-commitment-from-blackrock-germanys-top-commercial-and-industrial-solar-company/,False
Enviria,Silicon Canals,German company ENVIRIA secures over €185M from BlackRock to help companies access renewable energy ecosystem,"Frankfurt-based ENVIRIA, a commercial and industrial (C&I) decentralised energy solutions provider has secured a $200M (approximately €185M)...",29 Feb 2024,https://siliconcanals.com/enviria-secures-over-185m/,False
Enviria,IPE Real Assets,BlackRock injects $200m into German solar firm Enviria,Global Renewable Power IV provides capital to support expansion of Enviria's 500 C&I solar projects.,29 Feb 2024,https://realassets.ipe.com/news/blackrock-injects-200m-into-german-solar-firm-enviria/10071918.article,True
Enviria,Renewables Now,Solar start-up Enviria attracts USD-200m investment from Blackrock,Enviria Solar GmbH has secured an equity investment of over USD 200 million (EUR 185.1m) from US asset manager Blackrock (NYSE:BLK) in a...,29 Feb 2024,https://renewablesnow.com/news/solar-start-up-enviria-attracts-usd-200m-investment-from-blackrock-850084/,False
Enviria,Axios,German C&I solar company Enviria closed over $200M from BlackRock,German solar roof company Enviria said it's raised over $200 million from BlackRock to deploy more solar panels on buildings across Germany.,29 Feb 2024,https://www.axios.com/pro/climate-deals/2024/02/29/blackrock-backs-solar-enviria,False
Enviria,Manager Magazin,Enviria: BlackRock investiert 200 Millionen Euro bei Solar-Start-up,"Der Gründer des Solar-Star-ups Enviria, Melchior Schulze Brock, hat einen dicken Fisch an Land gezogen: Der weltgrößte Vermögensverwalter...",29 Feb 2024,https://www.manager-magazin.de/unternehmen/tech/enviria-blackrock-investiert-200-millionen-euro-bei-solar-start-up-a-08c6226a-7182-424d-901d-f352978022a9,False
Enviria,Microgrid Media,BlackRock’s Strategic Investment in Enviria,"In a bold move that's crucial for the worldwide switch to green energy, BlackRock's Global Renewable Power IV fund has made an impressive...",29 Feb 2024,https://microgridmedia.com/blackrocks-strategic-investment-enviria/,False
Enviria,pv magazine Deutschland,Mit 200 Millionen-Dollar-Investition übernimmt Blackrock die Anteile von Galileo an Enviria,Die Investmentplattform für erneuerbare Energien Galileo gibt ihre gesamten Anteile an der auf Photovoltaik für Unternehmen spezialisierten...,5 Mar 2024,https://www.pv-magazine.de/2024/03/05/nach-200-millionen-euro-investition-uebernimmt-blackrock-die-anteile-von-galileo-an-enviria/,False
Enviria,Handelsblatt,Enviria: Blackrock investiert 200 Millionen Dollar in Frankfurter Solardach-Spezialisten,Der weltgrößte Vermögensverwalter baut sein Geschäft mit Infrastruktur immer weiter aus. Enviria ist auf Dächer von Firmengebäuden...,29 Feb 2024,https://www.handelsblatt.com/finanzen/banken-versicherungen/enviria-blackrock-investiert-200-millionen-dollar-in-frankfurter-solardach-spezialisten/100019196.html,False
Enviria,FAZ.NET,200 Millionen Dollar von Blackrock für Frankfurter Solar-Start-up,Dollar-Regen für ein deutsches Solarunternehmen: Die US-Investmentgesellschaft steigt bei dem Frankfurter Start-up Enviria ein.,29 Feb 2024,https://www.faz.net/aktuell/rhein-main/wirtschaft/200-millionen-dollar-von-blackrock-fuer-frankfurter-solar-start-up-19554561.html,False
Enviria,EU-Startups,Frankfurt-based ENVIRIA secures €22.5 million to help businesses go solar,"Greentech startup ENVIRIA is fueling a renewable energy ecosystem, helping businesses transition to clean solar energy. The Frankfurt-based...",23 Jun 2022,https://www.eu-startups.com/2022/06/frankfurt-based-enviria-secures-e22-5-million-to-help-businesses-go-solar/,False
Enviria,Presseportal,Press Release: Enviria and Q ENERGY cov-develop 500 MW PV pipeline in Germany,Q ENERGY Solutions SE - ENVIRIA joins forces with newly formed Q ENERGY to co-develop a 500 MW solar PV ...✚ Read more.,12 Jul 2022,https://www.presseportal.de/en/pm/163925/5270815,False
Enviria,Tech.eu,German solar energy startup Enviria collects €22.5 million in Series A rays,"While the B2C solar panel market tends to receive the lion's share of ink, Frankfurt's Enviria is taking a different approach and going the...",23 Jun 2022,https://tech.eu/2022/06/23/german-solar-energy-startup-enviria-collects-eur225-million-in-series-a-rays/,False
Enviria,Solarserver,Enviria erhält Kapital von Blackrock über 200 Millionen US-Dollar,Das PV-Startup Enviria erhält 200 Millionen US-Dollar Finanzierung über einen Fonds von BlackRock. Das Kapital soll dem Bau von Solaranlagen...,29 Feb 2024,https://www.solarserver.de/2024/02/29/enviria-erhaelt-kapital-von-blackrock-ueber-200-millionen-us-dollar/,False
Enviria,ZfK: Zeitung für kommunale Wirtschaft,Blackrock investiert 200 Mio. Dollar in deutsches Solar-Start-up Enviria,Das Investment des US-Vermögensverwalters lässt aufhorchen: Was den Investor zu der Beteiligung motiviert hat und wie er das Geschäftsmodell...,29 Feb 2024,https://www.zfk.de/unternehmen/nachrichten/blackrock-investiert-200-mio-dollar-in-deutsches-solar-start-up-enviria,False
Enviria,Gründerszene,Gegen hohe Energiekosten: Für sein Solar-Startup sammelt dieser Gründer 185 Millionen Euro ein,Deutsche Firmen leiden unter hohen Energiekosten. Enviria will daraus ein Geschäft machen und Firmendächer mit Solarenergie ausstatten.,29 Feb 2024,https://www.businessinsider.de/gruenderszene/technologie/185-millionen-fuer-das-frankfurter-solar-startup-enviria/,False
Enviria,Energie & Management,Beteiligung: US-Investor steigt bei Enviria ein,Mit dem Verkauf seiner Anteile an den US-Investor Blackrock zieht sich ein Kapitalgeber der ersten Stunde aus dem Frankfurter Unternehmen...,6 Mar 2024,https://www.energie-und-management.de/nachrichten/detail/us-investor-steigt-bei-enviria-ein-212654,False
